Constructing ISIC2019LT Dataset with imbalance factor=500
Training with 4 GPUS, waiting until all processes join before starting training
Total # images:13556, labels:13556, number of classes
Total # images:3874, labels:3874, number of classes
Total # images:1939, labels:1939, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes
Total # images:13556, labels:13556, number of classes

Epoch: [77/100] Iter [  18/  26] || Time: 14819.1977 sec || lr: 0.010000 || Loss: 0.7679
Epoch: [78/100] Iter [   2/  26] || Time: 14920.8623 sec || lr: 0.010000 || Loss: 0.7426
Epoch: [78/100] Iter [  12/  26] || Time: 14979.9166 sec || lr: 0.010000 || Loss: 0.7077
Epoch: [78/100] Iter [  22/  26] || Time: 15026.0228 sec || lr: 0.010000 || Loss: 0.7502
Epoch: [79/100] Iter [   6/  26] || Time: 15131.3900 sec || lr: 0.010000 || Loss: 0.6954
Epoch: [79/100] Iter [  16/  26] || Time: 15180.3361 sec || lr: 0.010000 || Loss: 0.7464
Epoch: [79/100] Iter [  26/  26] || Time: 15241.4698 sec || lr: 0.010000 || Loss: 0.6771
Epoch: [80/100] Iter [  10/  26] || Time: 15334.2981 sec || lr: 0.010000 || Loss: 0.7260
Epoch: [80/100] Iter [  20/  26] || Time: 15380.8150 sec || lr: 0.010000 || Loss: 0.6621
Epoch: [81/100] Iter [   4/  26] || Time: 15486.1371 sec || lr: 0.010000 || Loss: 0.7463
Epoch: [81/100] Iter [  14/  26] || Time: 15538.7328 sec || lr: 0.010000 || Loss: 0.7296
Epoch: [81/100] Iter [  24/  26] || Time: 15584.9673 sec || lr: 0.010000 || Loss: 0.7404
Epoch: [82/100] Iter [   8/  26] || Time: 15699.9557 sec || lr: 0.010000 || Loss: 0.7515
Epoch: [82/100] Iter [  18/  26] || Time: 15748.9762 sec || lr: 0.010000 || Loss: 0.7041
Epoch: [83/100] Iter [   2/  26] || Time: 15851.4022 sec || lr: 0.010000 || Loss: 0.7372
Epoch: [83/100] Iter [  12/  26] || Time: 15907.0647 sec || lr: 0.010000 || Loss: 0.7556
Epoch: [83/100] Iter [  22/  26] || Time: 15953.7812 sec || lr: 0.010000 || Loss: 0.6760
Epoch: [84/100] Iter [   6/  26] || Time: 16063.0467 sec || lr: 0.010000 || Loss: 0.7772
Epoch: [84/100] Iter [  16/  26] || Time: 16113.3350 sec || lr: 0.010000 || Loss: 0.7361
Epoch: [84/100] Iter [  26/  26] || Time: 16170.3935 sec || lr: 0.010000 || Loss: 0.6790
Epoch: [85/100] Iter [  10/  26] || Time: 16264.4006 sec || lr: 0.010000 || Loss: 0.6874
Epoch: [85/100] Iter [  20/  26] || Time: 16313.5238 sec || lr: 0.010000 || Loss: 0.7692
Epoch: [86/100] Iter [   4/  26] || Time: 16421.4079 sec || lr: 0.010000 || Loss: 0.6997
Epoch: [86/100] Iter [  14/  26] || Time: 16475.0128 sec || lr: 0.010000 || Loss: 0.7598
Epoch: [86/100] Iter [  24/  26] || Time: 16520.3795 sec || lr: 0.010000 || Loss: 0.7267
Epoch: [87/100] Iter [   8/  26] || Time: 16637.0881 sec || lr: 0.010000 || Loss: 0.7102
Epoch: [87/100] Iter [  18/  26] || Time: 16684.4636 sec || lr: 0.010000 || Loss: 0.6855
Epoch: [88/100] Iter [   2/  26] || Time: 16785.3604 sec || lr: 0.010000 || Loss: 0.6972
Epoch: [88/100] Iter [  12/  26] || Time: 16842.6305 sec || lr: 0.010000 || Loss: 0.7089
Epoch: [88/100] Iter [  22/  26] || Time: 16889.9508 sec || lr: 0.010000 || Loss: 0.7417
Epoch: [89/100] Iter [   6/  26] || Time: 16996.8424 sec || lr: 0.010000 || Loss: 0.6372
